,phone,longBusinessSummary,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,category,ytdReturn,beta3Year,fundFamily,fundInceptionDate,legalType,threeYearAverageReturn,fiveYearAverageReturn,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,trailingPegRatio,Attributes,Annual Report Expense Ratio (net),Holdings Turnover,Total Net Assets,forwardPE
10,,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is designed to measure the performance of the large-, mid- and small-capitalization segments of equity market in Turkey. The fund is non-diversified.",86400,2,33.74,33.82,33.63,33.82,33.74,33.82,33.63,33.82,4.6137395,78979,78979,99654,78070,78070,33.66,34.46,1200,1300,0.0442,182830560,27.61,39.76,34.1744,33.7289,,,33.87376,USD,Miscellaneous Region,0.0439901,0.45,iShares,1206489600,Exchange Traded Fund,0.1062449,0.0797947,NGM,ETF,TUR,TUR,iShares MSCI Turkey ETF,iShares MSCI Turkey ETF,1206711000,America/New_York,EST,19fe68e7-a1c3-3b1e-9425-a14ef463cedb,finmb_42892091,-18000000,,TUR,0.59%,29.00%,"3,794.69",
11,(414) 765-5586,"The fund uses a passive management approach to track the total return performance, before fees and expenses, of the index. The index is a rules-based index that consists of a tiered, modified market capitalization-weighted portfolio of the U.S.-listed equity securities, including depositary receipts, of companies whose products or services are predominantly tied to the development of 5G networking and communication technologies (collectively, “5G Companies”).",86400,2,36.27,36.47,36.4443,37.1,36.27,36.47,36.4443,37.1,22.255527,50657,50657,67647,68470,68470,36.43,37.46,1100,1000,0.0139999995,575606528,28.75,37.13,34.13854,32.424,,,37.1365,USD,Technology,0.0352475,1.17,Defiance ETFs,1551657600,Exchange Traded Fund,0.030697301,,PCX,ETF,FIVG,FIVG,Defiance Next Gen Connectivity ,Defiance 5G Next Gen Connectivity ETF,1551796200,America/New_York,EST,2bfcfaea-f9f1-37af-b351-07540ee73d2d,finmb_597556700,-18000000,,FIVG,0.30%,25.00%,"58,972.12",
12,888-658-8287,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of securities issued by companies that Morningstar, Inc. determines to have sustainable competitive advantages based on a proprietary methodology that considers quantitative and qualitative factors (""wide moat companies"").",86400,2,34.3343,34.48,34.48,34.62,34.3343,34.48,34.48,34.62,19.775135,500,500,1496,1140,1140,31.17,37.0,1000,1000,0.0185,17522506,30.25,35.81,33.8948,33.6322,,,34.59,USD,,-0.010984301,1.01,VanEck,1540857600,Exchange Traded Fund,0.0242196,0.093685195,BTS,ETF,MOTG,MOTG,VanEck Morningstar Global Wide ,VanEck Morningstar Global Wide Moat ETF,1540992600,America/New_York,EST,c0632aa4-cdb5-3cb7-8fdc-ef6bfce95272,finmb_553474753,-18000000,,MOTG,0.52%,73.00%,"44,167.36",
13,(215) 914-1970,"Under normal circumstances, at least 80% of the fund's net assets will be invested in component securities of the benchmark index. The benchmark index is designed to capitalize on the theory that, over time, companies that consistently grow their dividends tend to have investment returns above overall market returns, and companies that do not grow (or cut) their dividends tend to have investment returns below overall market returns.",86400,2,60.6086,60.94,61.307,61.3671,60.6086,60.94,61.307,61.3671,,1280,1280,2752,2280,2280,57.89,98.06,800,900,0.0113,50241580,50.04,61.3671,58.98348,55.831165,0.0,0.0,61.3439,USD,Large Blend,0.0080105,1.04,SRN Advisors,1452038400,Exchange Traded Fund,0.098439395,0.155009,BTS,ETF,LEAD,LEAD,Siren DIVCON Leaders Dividend E,Siren DIVCON Leaders Dividend ETF,1452090600,America/New_York,EST,daa3b1e8-f6a0-303a-80b4-de70420b2844,finmb_311456178,-18000000,,LEAD,0.43%,53.66%,"48,789.22",
14,252-972-9922,"The fund seeks to achieve its investment objective of current income by investing principally in fixed income securities of any kind with a dollar-weighted average effective duration of between three and nine years. Under normal market conditions, Sub-Adviser intends to invest at least 80% of its net assets (plus the amount of borrowings for investment purposes) in such securities. Fixed income securities include bonds, debt securities, and income-producing instruments of any kind issued by governmental or private-sector entities.",86400,2,21.8783,21.73,21.73,21.73,21.8783,21.73,21.73,21.73,,311,311,5136,5220,5220,10.94,35.0,1000,1100,0.0378,45543800,20.14,22.58,21.78272,21.51881,,,22.17,USD,Long-Term Bond,-0.0176311,1.14,Spinnaker ETF Trust,1503014400,Exchange Traded Fund,-0.033777498,0.0099069,PCX,ETF,FFIU,FFIU,UVA Unconstrained Medium-Term F,Fieldstone UVA Unconstrained Medium-Term Fixed Income ETF,1503322200,America/New_York,EST,98d1f216-f623-3c4c-91b0-6f2ef43403d6,finmb_428736151,-18000000,,FFIU,0.54%,8.92%,0.00,
15,,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (plus any investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes. Municipal debt securities are generally issued by or on behalf of states, territories or possessions of the United States and the District of Columbia and their political subdivisions, agencies, authorities and other instrumentalities.",86400,2,16.86,16.73,16.71,16.755,16.86,16.73,16.71,16.755,,6290,6290,8691,8950,8950,8.4,16.79,1300,1100,0.0367,14406023,15.172,18.81,16.55678,16.36328,0.0,0.0,16.82,USD,Muni National Long,-0.0205158,1.36,First Trust Advisors L.P.,1474934400,Exchange Traded Fund,-0.0258525,0.023561,NGM,ETF,MFLX,MFLX,First Trust Flexible Municipal ,First Trust Flexible Municipal High Income ETF,1475155800,America/New_York,EST,0a8a38a2-4be3-3a57-8806-76b9c70610f2,finmb_346872599,-18000000,,MFLX,0.88%,27.00%,0.00,
16,+1 8884938631,The fund invests more than 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that provide products and services that facilitate physical wellness through active and healthy lifestyles.,86400,2,21.39,21.3759,21.2783,21.2783,21.39,21.3759,21.2783,21.2783,17.082138,166,166,1677,570,570,8.52,24.0,800,1100,0.0156,9303798,19.92,23.75,22.13836,22.082834,,,21.45,USD,,-0.0584823,1.05,Global X Funds,1462752000,Exchange Traded Fund,-0.0552057,0.0364423,NGM,ETF,BFIT,BFIT,Global X Health & Wellness ETF,Global X Health & Wellness ETF,1462887000,America/New_York,EST,132e1c64-1868-3cd5-b638-f1ed5b1cbce6,finmb_334554986,-18000000,,BFIT,0.50%,13.49%,"7,689.87",
17,888-658-8287,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of U.S. dollar-denominated floating rate notes issued by corporate entities or similar commercial entities that are public reporting companies in the United States and rated investment grade. The fund is non-diversified.,86400,2,25.29,25.3,25.28,25.3,25.29,25.3,25.28,25.3,,351559,351559,510032,342150,342150,22.81,27.72,1100,1300,0.060700003,1295236096,24.32,25.33,25.1824,25.16595,,,25.27,USD,Ultrashort Bond,0.0059642,0.03,VanEck,1303689600,Exchange Traded Fund,0.0294526,0.0310105,PCX,ETF,FLTR,FLTR,VanEck IG Floating Rate ETF Tra,VanEck IG Floating Rate ETF,1303824600,America/New_York,EST,ebbe99ad-6079-3270-9341-cecef5a20b1f,finmb_130729142,-18000000,,FLTR,0.14%,55.00%,0.00,
18,,"The fund is an actively-managed ETF that seeks to achieve its investment objective by investing in asset classes that the fund's portfolio managers believe offer the most attractive combined risk/return opportunities. The term ""asset classes"" generally includes, among others, U.S. equities, foreign securities, currencies, bonds, and REITs. It may invest globally in any asset class or security and may at times have significant exposure to a single asset class.",86400,2,29.8413,29.7976,29.7976,29.927,29.8413,29.7976,29.7976,29.927,,852,852,7685,5830,5830,26.93,32.65,800,1800,0.0414,147575696,28.7,31.52,30.4836,29.95405,,,29.9303,USD,Allocation--50% to 70% Equity,-0.0057441997,-0.05,Alpha Architect,1542153600,Exchange Traded Fund,0.0052556996,0.0652595,BTS,ETF,GDMA,GDMA,GadsdenA DynamicA Multi-AssetA ,Alpha Architect Gadsden Dynamic Multi-Asset ETF,1542292200,America/New_York,EST,67ca7f76-78d1-358f-a98e-074037b7ae5b,finmb_577854503,-18000000,,GDMA,1.26%,0.00%,"27,987.31",
19,1-800-474-2737,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. A significant portion of the underlying index is represented by securities of companies in the technology industry or sector. It is non-diversified.,86400,2,458.16,462.75,461.1615,469.7,458.16,462.75,461.1615,469.7,39.18027,34669,34669,30859,26060,26060,469.23,478.32,800,800,0.0039,3763386112,299.81,469.7,432.3258,391.72626,0.93,0.0020298585,469.84937,USD,Technology,0.0480164,1.3,iShares,984441600,Exchange Traded Fund,0.107166596,0.20976,PCX,ETF,IGM,IGM,iShares Expanded Tech Sector ET,iShares Expanded Tech Sector ETF,985012200,America/New_York,EST,8fdc0c09-478a-3726-892a-e82522404212,finmb_8796942,-18000000,,IGM,0.41%,9.00%,"267,057.84",
20,1-800-474-2737,"The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that BFA believes will help the fund track the underlying index.",86400,2,50.83,50.85,50.84,50.86,50.83,50.85,50.84,50.86,,1244215,1244215,1240947,1024130,1024130,50.84,50.85,3100,1300,0.056700002,7330531328,49.1,50.97,50.6882,50.66445,,,50.80956,USD,Ultrashort Bond,0.0044449,0.01,iShares,1308009600,Exchange Traded Fund,0.027767899,0.025468599,BTS,ETF,FLOT,FLOT,iShares Floating Rate Bond ETF,iShares Floating Rate Bond ETF,1308317400,America/New_York,EST,4522580b-9ba7-30bf-9f90-30461b8de93d,finmb_134386230,-18000000,,FLOT,0.15%,37.00%,0.00,
21,866-909-9473,The fund normally invests at least 80% of its total assets in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a dividend weighted index designed to provide exposure to Japanese equity markets while at the same time neutralizing exposure to fluctuations of the value of the Japanese yen relative to the U.S. dollar. The fund is non-diversified.,86400,2,31.04,30.88,30.7938,31.0,31.04,30.88,30.7938,31.0,6.4579334,24801,24801,38065,25400,25400,30.5,33.93,1000,900,0.027,53791932,22.965,31.19,29.6962,27.546076,0.0,0.0,30.77052,USD,Japan Stock,0.0368756,0.27,WisdomTree,1372377600,Exchange Traded Fund,0.18704501,0.1271061,NGM,ETF,DXJS,DXJS,WisdomTree Japan Hedged SmallCa,WisdomTree Japan Hedged SmallCap Equity Fund,1372426200,America/New_York,EST,c1019186-b7e7-337f-be41-8c3b3a906691,finmb_206612698,-18000000,,DXJS,0.58%,46.00%,863.65,
22,,"In seeking to track the performance of the S&P Semiconductor Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the semiconductors segment of the S&P Total Market Index (""S&P TMI"").",86400,2,214.29,216.98,215.55,221.2119,214.29,216.98,215.55,221.2119,25.049732,119646,119646,54800,59120,59120,219.18,222.74,1000,800,0.0031,1489751808,165.0,233.01,207.386,202.54085,0.44,0.0020532922,221.03479,USD,Technology,-0.0170826,1.71,SPDR State Street Global Advisors,1138665600,Exchange Traded Fund,0.0552674,0.2666384,PCX,ETF,XSD,XSD,SPDR S&P Semiconductor ETF,SPDR S&P Semiconductor ETF,1139236200,America/New_York,EST,0cd3581b-75ed-3226-a50f-b1ed89c665cf,finmb_26752143,-18000000,,XSD,0.35%,31.00%,"14,086.81",
23,,"In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified.",86400,2,195.66,196.94,196.51,200.21,195.66,196.94,196.51,200.21,37.926792,8991976,8991976,7017026,6923210,6923210,200.18,200.38,900,800,0.0076,58455134208,130.77,200.21,187.0804,170.5923,1.103,0.00563733,200.19847,USD,Technology,0.0399522,1.22,SPDR State Street Global Advisors,913766400,Exchange Traded Fund,0.16752769,0.2638794,PCX,ETF,XLK,XLK,SPDR Select Sector Fund - Techn,Technology Select Sector SPDR Fund,914337000,America/New_York,EST,831b3a60-ccb6-34f6-850a-b0a55559f044,finmb_8795639,-18000000,,XLK,0.10%,19.00%,"568,454.12",
24,1-855-353-9383,"The fund seeks to achieve its investment objective by investing at least 80% of its total assets in a portfolio of fixed-income instruments, including bonds, debt securities and other similar instruments issued by U.S. and non-U.S. public and private sector entities. The dollar-weighted average portfolio maturity of the fund is normally not expected to exceed two years. It may invest up to 20% of its total assets in fixed-income securities and instruments of issuers in emerging markets.",86400,2,75.28,75.28,75.28,75.3,75.28,75.28,75.28,75.3,,40076,40076,70696,50470,50470,75.29,75.3,1300,3200,0.045500003,1108768256,74.52,75.3,75.0632,74.9269,,,75.2817,USD,Ultrashort Bond,0.0035119,0.05,Flexshares Trust,1349740800,Exchange Traded Fund,0.0196508,0.0222294,PCX,ETF,RAVI,RAVI,FlexShares Ultra-Short Income F,FlexShares Ultra-Short Income Fund,1349962200,America/New_York,EST,5b469488-44ea-3358-8250-941b842e4a30,finmb_207419459,-18000000,,RAVI,0.25%,37.00%,0.00,
25,,"Under normal market conditions, the fund invests at least 80% of its net assets in securities issued or guaranteed by the U.S. government, its agencies, or instrumentalities. To pursue its investment goal, it may invest in certain interest rate-related derivative transactions, principally U.S. Treasury futures contracts and options on interest rate/bond futures.",86400,2,90.23,90.2,90.13,90.22,90.23,90.2,90.13,90.22,,4630,4630,18401,13220,13220,90.14,90.22,800,900,0.0414,157608400,88.44,91.0,89.771,89.58895,0.0,0.0,90.1596,USD,Short Government,0.0023741,0.2,Franklin Templeton Investments,1383523200,Exchange Traded Fund,0.0029449998,0.0135408,PCX,ETF,FTSD,FTSD,Franklin Short Duration U.S. Go,Franklin Short Duration U.S. Government ETF,1383661800,America/New_York,EST,a7ba74b1-f4d2-381d-8960-637104444006,finmb_232663577,-18000000,,FTSD,0.25%,196.59%,0.00,
26,,"Under normal circumstances, the fund will invest at least 80% of its total assets in component securities. The index and fund seek to provide exposure to the companies of the S&P 500® Index (the ""S&P 500®"") with the exception of those companies included in the Energy Sector.",86400,2,101.439,103.1203,103.1203,103.6496,101.439,103.1203,103.1203,103.6496,,1194,1194,1919,1360,1360,41.43,165.71,800,800,0.0128999995,40231804,81.873,103.65,99.10512,93.80757,,,103.6541,USD,Large Blend,0.018009,1.01,ProShares,1442880000,Exchange Traded Fund,0.0938296,0.1461032,PCX,ETF,SPXE,SPXE,ProShares S&P 500 Ex-Energy ETF,ProShares S&P 500 ex-Energy ETF,1443101400,America/New_York,EST,1a92b07b-2ce2-3f8f-ae17-448dd3c38b5f,finmb_307749957,-18000000,,SPXE,0.09%,4.00%,"236,946.28",
27,(414) 765-5586,"The fund is an actively-managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective primarily by investing in repurchase agreements collateralized by U.S. government securities. It is not a money market fund and does not seek to maintain a stable net asset value (""NAV"") of $1.00 per share.",86400,2,100.365,100.41,100.36,100.41,100.365,100.41,100.36,100.41,,8486,8486,22154,5260,5260,100.3,100.41,800,800,0.050300002,180111584,99.95,100.99,100.2978,100.36529,0.0,0.0,100.3711,USD,Ultrashort Bond,0.0034278,0.0,ClearShares,1531180800,Exchange Traded Fund,0.025006002,0.0203692,PCX,ETF,OPER,OPER,ETF Series Solutions ETF ClearS,ClearShares Ultra-Short Maturity ETF,1531315800,America/New_York,EST,c628790f-0dde-396b-8e31-0fe7e1e874a1,finmb_566618583,-18000000,,OPER,0.20%,0.00%,0.00,
28,(800) 621-1675,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in municipal debt securities that pay interest that is exempt from regular federal income taxes. The weighted average duration of the fund's portfolio is expected to be less than one year.",86400,2,20.09,20.08,20.0701,20.08,20.09,20.08,20.0701,20.08,,12628,12628,93880,47060,47060,8.08,25.1,800,1000,0.0224,226069648,19.86,20.13,20.0542,19.98105,,,20.09,USD,Muni National Short,0.0009969999,0.09,First Trust Advisors L.P.,1541030400,Exchange Traded Fund,0.010587799,0.0130977,PCX,ETF,FUMB,FUMB,First Trust Ultra Short Duratio,First Trust Ultra Short Duration Municipal ETF,1541601000,America/New_York,EST,321568cd-0482-32d5-9c66-991a555252b2,finmb_580085368,-18000000,,FUMB,0.45%,121.00%,0.00,
29,(415) 670-2000,"The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets in a portfolio of U.S. dollar-denominated investment-grade fixed-income securities. Under normal circumstances, the effective duration of its portfolio is expected to be three year or less, as calculated by the management team. It is an actively managed exchange-traded fund (""ETF"") that does not seek to replicate the performance of a specified index.",86400,2,50.59,50.55,50.55,50.5879,50.59,50.55,50.55,50.5879,,500613,500613,524022,489910,489910,50.56,50.6,1300,2200,0.045900002,3053257216,49.44,50.73,50.291,49.84955,,,50.52376,USD,Ultrashort Bond,0.0010887,0.09,iShares,1380067200,Exchange Traded Fund,0.0266388,0.0255132,BTS,ETF,NEAR,NEAR,BlackRock Short Duration Bond E,BlackRock Short Duration Bond ETF,1380807000,America/New_York,EST,64edd4ee-9ed5-37e9-a21f-d405be8244d5,finmb_217067183,-18000000,,NEAR,0.25%,40.00%,0.00,
30,(800) 480-4111,"Under normal circumstances, the fund seeks to achieve its investment objective by investing at least 80% of its assets in investment grade, U.S. dollar denominated short-term fixed, variable and floating rate debt. ""Assets"" means net assets, plus the amount of borrowings for investment purposes. As part of its principal investment strategy, it may invest in corporate securities, asset-backed securities, mortgage-backed and mortgage-related securities, and high quality money market instruments such as commercial paper and certificates of deposit.",86400,2,50.38,50.38,50.37,50.39,50.38,50.38,50.37,50.39,,3684199,3684199,4304511,3526190,3526190,50.37,50.39,46000,40000,0.048,22324641792,49.93,50.45,50.2588,50.16575,,,50.3597,USD,Ultrashort Bond,0.0029863,0.05,JPMorgan,1494979200,Exchange Traded Fund,0.0220067,0.023894401,PCX,ETF,JPST,JPST,JPMorgan Ultra-Short Income ETF,JPMorgan Ultra-Short Income ETF,1495200600,America/New_York,EST,fe1eb38f-8944-3e36-9b7c-f2dfd99cd978,finmb_379584095,-18000000,,JPST,0.18%,57.00%,0.00,
