,Iteration Per Period
2021-02-09,11
2021-02-10,11
2021-02-11,11
2021-02-12,11
2021-02-16,11
2021-02-17,11
2021-02-18,10
2021-02-19,10
2021-02-22,10
2021-02-23,9
2021-02-24,9
2021-02-25,9
2021-02-26,9
2021-03-01,9
2021-03-02,9
2021-03-03,9
2021-03-04,9
2021-03-05,8
2021-03-08,8
2021-03-09,8
2021-03-10,8
2021-03-11,8
2021-03-12,8
2021-03-15,8
2021-03-16,7
2021-03-17,8
2021-03-18,8
2021-03-19,7
2021-03-22,7
2021-03-23,7
2021-03-24,7
2021-03-25,7
2021-03-26,8
2021-03-29,7
2021-03-30,8
2021-03-31,8
2021-04-01,7
2021-04-05,8
2021-04-06,7
2021-04-07,8
2021-04-08,8
2021-04-09,8
2021-04-12,8
2021-04-13,8
2021-04-14,8
2021-04-15,7
2021-04-16,7
2021-04-19,7
2021-04-20,7
2021-04-21,7
2021-04-22,7
2021-04-23,7
2021-04-26,7
2021-04-27,7
2021-04-28,7
2021-04-29,7
2021-04-30,7
2021-05-03,7
2021-05-04,7
2021-05-05,7
2021-05-06,7
2021-05-07,7
2021-05-10,7
2021-05-11,7
2021-05-12,7
2021-05-13,7
2021-05-14,7
2021-05-17,7
2021-05-18,7
2021-05-19,7
2021-05-20,7
2021-05-21,7
2021-05-24,7
2021-05-25,7
2021-05-26,7
2021-05-27,7
2021-05-28,7
2021-06-01,7
2021-06-02,7
2021-06-03,7
2021-06-04,7
2021-06-07,7
2021-06-08,7
2021-06-09,7
2021-06-10,7
2021-06-11,7
2021-06-14,7
2021-06-15,7
2021-06-16,7
2021-06-17,7
2021-06-18,7
2021-06-21,7
2021-06-22,7
2021-06-23,7
2021-06-24,7
2021-06-25,7
2021-06-28,7
2021-06-29,7
2021-06-30,7
2021-07-01,7
2021-07-02,7
2021-07-06,7
2021-07-07,7
2021-07-08,7
2021-07-09,7
2021-07-12,7
2021-07-13,7
2021-07-14,7
2021-07-15,7
2021-07-16,7
2021-07-19,7
2021-07-20,7
2021-07-21,7
2021-07-22,7
2021-07-23,7
2021-07-26,7
2021-07-27,7
2021-07-28,7
2021-07-29,8
2021-07-30,8
2021-08-02,8
2021-08-03,7
2021-08-04,8
2021-08-05,7
2021-08-06,7
2021-08-09,7
2021-08-10,7
2021-08-11,8
2021-08-12,8
2021-08-13,7
2021-08-16,6
2021-08-17,7
2021-08-18,7
2021-08-19,8
2021-08-20,8
2021-08-23,8
2021-08-24,7
2021-08-25,8
2021-08-26,7
2021-08-27,7
2021-08-30,7
2021-08-31,7
2021-09-01,7
2021-09-02,7
2021-09-03,7
2021-09-07,7
2021-09-08,7
2021-09-09,7
2021-09-10,7
2021-09-13,6
2021-09-14,8
2021-09-15,7
2021-09-16,7
2021-09-17,7
2021-09-20,7
2021-09-21,7
2021-09-22,7
2021-09-23,7
2021-09-24,7
2021-09-27,7
2021-09-28,8
2021-09-29,7
2021-09-30,7
2021-10-01,7
2021-10-04,7
2021-10-05,7
2021-10-06,7
2021-10-07,7
2021-10-08,7
2021-10-11,8
2021-10-12,8
2021-10-13,8
2021-10-14,8
2021-10-15,7
2021-10-18,8
2021-10-19,8
2021-10-20,8
2021-10-21,7
2021-10-22,8
2021-10-25,8
2021-10-26,8
2021-10-27,7
2021-10-28,7
2021-10-29,7
2021-11-01,7
2021-11-02,7
2021-11-03,7
2021-11-04,7
2021-11-05,7
2021-11-08,8
2021-11-09,7
2021-11-10,7
2021-11-11,8
2021-11-12,7
2021-11-15,7
2021-11-16,7
2021-11-17,7
2021-11-18,7
2021-11-19,7
2021-11-22,7
2021-11-23,7
2021-11-24,6
2021-11-26,7
2021-11-29,7
2021-11-30,8
2021-12-01,8
2021-12-02,8
2021-12-03,8
2021-12-06,7
2021-12-07,7
2021-12-08,7
2021-12-09,7
2021-12-10,7
2021-12-13,7
2021-12-14,7
2021-12-15,7
2021-12-16,7
2021-12-17,7
2021-12-20,8
2021-12-21,7
2021-12-22,7
2021-12-23,7
2021-12-27,7
2021-12-28,8
2021-12-29,8
2021-12-30,8
2021-12-31,8
2022-01-03,8
2022-01-04,8
2022-01-05,9
2022-01-06,9
2022-01-07,9
2022-01-10,9
2022-01-11,9
2022-01-12,9
2022-01-13,9
2022-01-14,9
2022-01-18,9
2022-01-19,10
2022-01-20,10
2022-01-21,10
2022-01-24,10
2022-01-25,11
2022-01-26,10
2022-01-27,11
2022-01-28,10
2022-01-31,9
2022-02-01,9
2022-02-02,9
2022-02-03,10
2022-02-04,10
2022-02-07,10
2022-02-08,10
2022-02-09,8
2022-02-10,10
2022-02-11,11
2022-02-14,10
2022-02-15,10
2022-02-16,9
2022-02-17,10
2022-02-18,10
2022-02-22,10
2022-02-23,9
2022-02-24,9
2022-02-25,8
2022-02-28,10
2022-03-01,9
2022-03-02,8
2022-03-03,5
2022-03-04,9
2022-03-07,7
2022-03-08,10
2022-03-09,12
2022-03-10,12
2022-03-11,12
2022-03-14,11
2022-03-15,13
2022-03-16,11
2022-03-17,11
2022-03-18,9
2022-03-21,10
2022-03-22,10
2022-03-23,8
2022-03-24,9
2022-03-25,10
2022-03-28,10
2022-03-29,10
2022-03-30,10
2022-03-31,10
2022-04-01,11
2022-04-04,11
2022-04-05,10
2022-04-06,12
2022-04-07,12
2022-04-08,13
2022-04-11,13
2022-04-12,12
2022-04-13,12
2022-04-14,14
2022-04-18,13
2022-04-19,13
2022-04-20,13
2022-04-21,13
2022-04-22,16
2022-04-25,16
2022-04-26,15
2022-04-27,15
2022-04-28,15
2022-04-29,15
2022-05-02,13
2022-05-03,16
2022-05-04,15
2022-05-05,17
2022-05-06,18
2022-05-09,16
2022-05-10,16
2022-05-11,16
2022-05-12,16
2022-05-13,17
2022-05-16,17
2022-05-17,14
2022-05-18,17
2022-05-19,15
2022-05-20,15
2022-05-23,17
2022-05-24,10
2022-05-25,17
2022-05-26,20
2022-05-27,16
2022-05-31,16
2022-06-01,24
2022-06-02,15
2022-06-03,19
2022-06-06,17
2022-06-07,17
2022-06-08,18
2022-06-09,15
2022-06-10,15
2022-06-13,12
2022-06-14,12
2022-06-15,13
2022-06-16,12
2022-06-17,100
2022-06-21,12
2022-06-22,100
2022-06-23,100
2022-06-24,100
2022-06-27,100
2022-06-28,12
2022-06-29,13
2022-06-30,100
2022-07-01,100
2022-07-05,13
2022-07-06,14
2022-07-07,14
2022-07-08,14
2022-07-11,13
2022-07-12,14
2022-07-13,13
2022-07-14,14
2022-07-15,13
2022-07-18,16
2022-07-19,19
2022-07-20,18
2022-07-21,17
2022-07-22,17
2022-07-25,18
2022-07-26,17
2022-07-27,18
2022-07-28,18
2022-07-29,19
2022-08-01,18
2022-08-02,15
2022-08-03,17
2022-08-04,18
2022-08-05,17
2022-08-08,17
2022-08-09,18
2022-08-10,20
2022-08-11,20
2022-08-12,21
2022-08-15,18
2022-08-16,16
2022-08-17,18
2022-08-18,12
2022-08-19,19
2022-08-22,21
2022-08-23,18
2022-08-24,19
2022-08-25,17
2022-08-26,16
2022-08-29,16
2022-08-30,17
2022-08-31,17
2022-09-01,16
2022-09-02,16
2022-09-06,15
2022-09-07,15
2022-09-08,17
2022-09-09,11
2022-09-12,14
2022-09-13,17
2022-09-14,18
2022-09-15,16
2022-09-16,15
2022-09-19,17
2022-09-20,17
2022-09-21,16
2022-09-22,15
2022-09-23,13
2022-09-26,13
2022-09-27,12
2022-09-28,14
2022-09-29,14
2022-09-30,13
2022-10-03,15
2022-10-04,16
2022-10-05,16
2022-10-06,15
2022-10-07,15
2022-10-10,14
2022-10-11,14
2022-10-12,14
2022-10-13,15
2022-10-14,13
2022-10-17,14
2022-10-18,15
2022-10-19,14
2022-10-20,14
2022-10-21,15
2022-10-24,15
2022-10-25,14
2022-10-26,15
2022-10-27,15
2022-10-28,15
2022-10-31,16
2022-11-01,15
2022-11-02,14
2022-11-03,14
2022-11-04,15
2022-11-07,15
2022-11-08,15
2022-11-09,14
2022-11-10,14
2022-11-11,14
2022-11-14,11
2022-11-15,14
2022-11-16,12
2022-11-17,13
2022-11-18,12
2022-11-21,13
2022-11-22,14
2022-11-23,7
2022-11-25,9
2022-11-28,9
2022-11-29,12
2022-11-30,31
2022-12-01,15
2022-12-02,18
2022-12-05,17
2022-12-06,17
2022-12-07,14
2022-12-08,14
2022-12-09,16
2022-12-12,16
2022-12-13,17
2022-12-14,16
2022-12-15,13
2022-12-16,13
2022-12-19,15
2022-12-20,13
2022-12-21,15
2022-12-22,15
2022-12-23,14
2022-12-27,9
2022-12-28,18
2022-12-29,15
2022-12-30,15
2023-01-03,16
2023-01-04,16
2023-01-05,17
2023-01-06,19
2023-01-09,18
2023-01-10,18
2023-01-11,19
2023-01-12,19
2023-01-13,19
2023-01-17,20
2023-01-18,100
2023-01-19,17
2023-01-20,17
2023-01-23,21
2023-01-24,15
2023-01-25,17
2023-01-26,16
2023-01-27,16
2023-01-30,16
2023-01-31,16
2023-02-01,11
2023-02-02,16
2023-02-03,19
2023-02-06,17
2023-02-07,16
2023-02-08,16
2023-02-09,20
2023-02-10,19
2023-02-13,19
2023-02-14,17
2023-02-15,15
2023-02-16,20
2023-02-17,19
2023-02-21,23
2023-02-22,18
2023-02-23,17
2023-02-24,18
2023-02-27,15
2023-02-28,20
2023-03-01,25
2023-03-02,10
2023-03-03,19
2023-03-06,18
2023-03-07,20
2023-03-08,17
2023-03-09,17
2023-03-10,18
2023-03-13,17
2023-03-14,22
2023-03-15,17
2023-03-16,18
2023-03-17,13
2023-03-20,14
2023-03-21,13
2023-03-22,14
2023-03-23,12
2023-03-24,14
2023-03-27,13
2023-03-28,13
2023-03-29,13
2023-03-30,11
2023-03-31,13
2023-04-03,14
2023-04-04,13
2023-04-05,13
2023-04-06,13
2023-04-10,14
2023-04-11,13
2023-04-12,14
2023-04-13,15
2023-04-14,9
2023-04-17,15
2023-04-18,14
2023-04-19,16
2023-04-20,13
2023-04-21,9
2023-04-24,17
2023-04-25,13
2023-04-26,24
2023-04-27,11
2023-04-28,6
2023-05-01,12
2023-05-02,10
2023-05-03,11
2023-05-04,13
2023-05-05,15
2023-05-08,11
2023-05-09,11
2023-05-10,7
2023-05-11,10
2023-05-12,10
2023-05-15,10
2023-05-16,11
2023-05-17,11
2023-05-18,12
2023-05-19,11
2023-05-22,11
2023-05-23,11
2023-05-24,10
2023-05-25,12
2023-05-26,12
2023-05-30,13
2023-05-31,16
2023-06-01,14
2023-06-02,11
2023-06-05,14
2023-06-06,13
2023-06-07,11
2023-06-08,11
2023-06-09,12
2023-06-12,11
2023-06-13,9
2023-06-14,9
2023-06-15,8
2023-06-16,9
2023-06-20,9
2023-06-21,9
2023-06-22,9
2023-06-23,9
2023-06-26,8
2023-06-27,9
2023-06-28,9
2023-06-29,9
2023-06-30,9
2023-07-03,8
2023-07-05,8
2023-07-06,9
2023-07-07,9
2023-07-10,9
2023-07-11,9
2023-07-12,9
2023-07-13,9
2023-07-14,9
2023-07-17,9
2023-07-18,9
2023-07-19,9
2023-07-20,9
2023-07-21,9
2023-07-24,8
2023-07-25,9
2023-07-26,9
2023-07-27,9
2023-07-28,9
2023-07-31,9
2023-08-01,9
2023-08-02,10
2023-08-03,10
2023-08-04,10
2023-08-07,9
2023-08-08,10
2023-08-09,10
2023-08-10,9
2023-08-11,10
2023-08-14,10
2023-08-15,10
2023-08-16,11
2023-08-17,12
2023-08-18,10
2023-08-21,11
2023-08-22,11
2023-08-23,10
2023-08-24,10
2023-08-25,10
2023-08-28,11
2023-08-29,10
2023-08-30,9
2023-08-31,9
2023-09-01,9
2023-09-05,9
2023-09-06,9
2023-09-07,8
2023-09-08,9
2023-09-11,9
2023-09-12,9
2023-09-13,9
2023-09-14,8
2023-09-15,7
2023-09-18,8
2023-09-19,7
2023-09-20,7
2023-09-21,8
2023-09-22,8
2023-09-25,7
2023-09-26,7
2023-09-27,6
2023-09-28,7
2023-09-29,7
2023-10-02,6
2023-10-03,8
2023-10-04,9
2023-10-05,9
2023-10-06,9
2023-10-09,9
2023-10-10,9
2023-10-11,9
2023-10-12,9
2023-10-13,8
2023-10-16,9
2023-10-17,8
2023-10-18,8
2023-10-19,9
2023-10-20,8
2023-10-23,8
2023-10-24,7
2023-10-25,9
2023-10-26,9
2023-10-27,9
2023-10-30,9
2023-10-31,8
2023-11-01,9
2023-11-02,8
2023-11-03,8
2023-11-06,9
2023-11-07,8
2023-11-08,9
2023-11-09,7
2023-11-10,8
2023-11-13,11
2023-11-14,9
2023-11-15,10
2023-11-16,9
2023-11-17,9
2023-11-20,7
2023-11-21,8
2023-11-22,7
2023-11-24,8
2023-11-27,9
2023-11-28,9
2023-11-29,8
2023-11-30,8
2023-12-01,8
2023-12-04,6
2023-12-05,8
2023-12-06,7
2023-12-07,7
2023-12-08,8
2023-12-11,7
2023-12-12,9
2023-12-13,8
2023-12-14,8
2023-12-15,8
2023-12-18,10
2023-12-19,7
2023-12-20,8
2023-12-21,7
2023-12-22,8
2023-12-26,7
2023-12-27,7
2023-12-28,9
2023-12-29,8
2024-01-02,9
2024-01-03,7
2024-01-04,8
2024-01-05,9
2024-01-08,8
2024-01-09,10
2024-01-10,11
2024-01-11,11
2024-01-12,11
2024-01-16,11
2024-01-17,10
2024-01-18,11
2024-01-19,11
